data_type,trt_name,emmean,SE,df,asymp.LCL,asymp.UCL,sig_letter
fallbio,acc,857.6487499999998,70.36220767363102,Inf,719.7413570869553,995.5561429130444,a
fallbio,xacc,816.3162500000001,70.36220767363105,Inf,678.4088570869554,954.2236429130447,a
fallbio,xa,580.9662500000001,70.36220767363103,Inf,443.0588570869554,718.8736429130447,ab
fallbio,xpcc,528.06125,70.36220767363103,Inf,390.1538570869553,665.9686429130446,b
fallbio,xp,507.7875,70.36220767363103,Inf,369.8801070869554,645.6948929130447,b
fallbio,pcc,478.56374999999997,70.36220767363105,Inf,340.6563570869553,616.4711429130446,b
fallbio,a,467.70250000000004,70.36220767363093,Inf,329.7951070869556,605.6098929130444,b
fallbio,p,298.35875,70.36220767363102,Inf,160.4513570869554,436.2661429130446,b
